id,city
city1,Ouzinkie
city2,Anchorage
city3,Huntsville
city4,Montgomery
city5,Vernon
city6,Phoenix
city7,Scottsdale
city8,Snowflake
city9,Los Angeles
city10,San Diego
city11,Carlsbad
city12,San Francisco
city13,Denver
city14,Boulder
city15,Lafayette
city16,Bloomfield
city17,Hartford
city18,Stamford
city19,Wilmington
city20,Tampa
city21,Miami
city22,Jacksonville
city23,Maitland
city24,Arlington
city25,Atlanta
city26,Woodstock
city27,Smyrna
city28,Alpharetta
city29,Shafter
city30,Honolulu
city31,Waimea
city32,Des Moines
city33,Boise
city34,Chicago
city35,Indianapolis
city36,Wichita
city37,Van Nuys
city38,Louisville
city39,Lexington
city40,Lafayette
city41,New Orleans
city42,Boston
city43,Columbia
city44,Orono
city45,Ann Arbor
city46,Novi
city47,Monroe
city48,Rochester Hills
city49,Farmington
city50,Richfield
city51,Minneapolis
city52,Saint Louis Park
city53,Saint Paul
city54,Eagan
city55,Minnetonka
city56,Eden Prairie
city57,Saint Louis
city58,Liberty
city59,Hazelwood
city60,Long Beach
city61,Vicksburg
city62,Tupelo
city63,Bridger
city64,Missoula
city65,Billings
city66,Raleigh
city67,Charlotte
city68,Durham
city69,Bismarck
city70,Dickinson
city71,Fargo
city72,Omaha
city73,Lincoln
city74,Westlake
city75,Nashua
city76,Raritan
city77,Rochester
city78,Newark
city79,Albuquerque
city80,Las Vegas
city81,Sparks
city82,Carson City
city83,New York City
city84,Columbus
city85,Cleveland
city86,Beavercreek
city87,Tulsa
city88,Oklahoma City
city89,Portland
city90,Beaverton
city91,Salem
city92,Philadelphia
city93,York
city94,Pittsburgh
city95,Kingston
city96,Providence
city97,North Charleston
city98,Rapid City
city99,Nashville
city100,Dallas
city101,Tyler
city102,Houston
city103,Irving
city104,Salt Lake City
city105,Draper
city106,Herriman
city107,South Jordan
city108,Lehi
city109,Provo
city110,Arlington
city111,McLean
city112,Barre
city113,Burlington
city114,South Burlington
city115,Seattle
city116,Redmond
city117,Madison
city118,Milwaukee
city119,Port Washington
city120,Clarksburg
city121,Cheyenne
city122,Laramie
city123,Yeovil
city124,Durrington
city125,Wimbledon
city126,Clapton
city127,Winnersh
city128,Woking
city129,Slough
city130,Wandsworth
city131,Wembley
city132,Shepherd's Bush
city133,Basildon
city134,Stratford
city135,Docklands
city136,Canary Wharf
city137,Watford
city138,Havant
city139,Waterlooville
city140,Warrington
city141,Warminster
city142,Uxbridge
city143,Croydon
city144,Truro
city145,Edgware
city146,Newbury
city147,Tewkesbury
city148,Rochester
city149,Avon
city150,Stevenage
city151,London Bridge
city152,Waterloo
city153,Greenwich
city154,Southwark
city155,Staines
city156,Egham
city157,Brentford
city158,Solihull
city159,Sevenoaks
city160,Saffron Walden
city161,Little Chesterford
city162,Rochdale
city163,Oldham
city164,Royston
city165,Royal Tunbridge Wells
city166,Culham
city167,Rotherham
city168,Romsey
city169,Kew
city170,Juneau
city171,Bridgeport
city172,Birmingham
city173,Tempe
city174,Sunnyvale
city175,San Bruno
city176,Foster City
city177,San Jose
city178,Castle Rock
city179,Centennial
city180,Englewood
city181,Colorado Springs
city182,Orlando
city183,Sarasota
city184,Cape Canaveral
city185,Oahu
city186,Council Bluffs
city187,Cedar Rapids
city188,Polk County
city189,Pekin
city190,Northbrook
city191,Hoffman Estates
city192,Evansville
city193,Olathe
city194,Overland Park
city195,Cambridge
city196,Quincy
city197,Devens
city198,Waltham
city199,Owings Mills
city200,Baltimore
city201,Rockville
city202,Annapolis
city203,Portland
city204,Lansing
city205,Plymouth
city206,Higginsville
city207,Kansas City
city208,O'Fallon
city209,Magee
city210,Salem
city211,Hickory
city212,Papillion
city213,Hanover
city214,Clinton
city215,Roseland
city216,Basking Ridge
city217,Los Alamos
city218,Henderson
city219,Reno
city220,New Albany
city221,Maumee
city222,Dublin
city223,Marysville
city224,Tahlequah
city225,Hillsboro
city226,Harrisburg
city227,Moncks Corner
city228,Clarksville
city229,Maryville
city230,Brentwood
city231,Austin
city232,Reston
city233,Glen Allen
city234,Falls Church
city235,Richmond
city236,Black Diamond
city237,Norwich
city238,Waterbury
city239,Kirkland
city240,Everett
city241,Bellevue
city242,Vancouver
city243,Menomonee Falls
city244,Appleton
city245,De Forest
city246,Charleston
city247,Taunton
city248,Yeadon
city249,Guiseley
city250,Otley
city251,Yate
city252,Chipping Sodbury
city253,Worthing
city254,Bognor Regis
city255,Worksop
city256,Workington
city257,Surbiton
city258,Sutton
city259,North Finchley
city260,South Tottenham
city261,Whetstone
city262,Holloway
city263,Wood Green
city264,Wanstead
city265,Redbridge
city266,Walthamstow
city267,Chigwell
city268,Waltham Forest
city269,Wath upon Dearne
city270,Bilston
city271,Shute
city272,Wokingham
city273,Crowthorne
city274,Chobham
city275,Standlake
city276,Witney
city277,Witham
city278,Motherwell
city279,Wishaw
city280,Wisbech
city281,Winsford
city282,Windsor
city283,Putney
city284,New Malden
city285,Wilmslow
city286,Handforth
city287,Alderley Edge
city288,Ealing
city289,Notting Hill
city290,Wednesbury
city291,Wigan
city292,Widnes
city293,Halton
city294,Runcorn
city295,North Benfleet
city296,Whitstable
city297,North Shields
city298,Whitley Bay
city299,Tynemouth
city300,Whitehaven
city301,Whitefield
city302,Broadoak
city303,Weymouth
city304,Weybridge
city305,Chertsey
city306,Mare
city307,Thames
city308,East Molesey
city309,Esher
city310,Hindley
city311,Westhoughton
city312,Barking
city313,Hackney
city314,Canning Town
city315,East Ham
city316,Poplar
city317,Westbury
city318,Smethwick
city319,Tipton
city320,Sandwell
city321,West Bromwich
city322,Oldbury
city323,Greenford
city324,Harrow
city325,The City
city326,Welwyn Garden City
city327,Wellingborough
city328,Erith
city329,Woolwich
city330,Abbey Wood
city331,Bexley
city332,Sidcup
city333,Crossness
city334,Bushey
city335,Denmead
city336,Royal Leamington Spa
city337,Longbridge Deverill
city338,Ware
city339,Wantage
city340,Grove
city341,Leytonstone
city342,Waltham Abbey
city343,Waltham Cross
city344,Loughton
city345,Cheshunt
city346,Aldridge
city347,Gateshead
city348,Wallington
city349,Birkenhead
city350,Prenton
city351,Wallasey
city352,Little Hulton
city353,Worsley
city354,Swinton
city355,Kearsley
city356,Radcliffe
city357,Walkden
city358,Eccles
city359,Hillingdon
city360,Trafford
city361,Irlam
city362,Trafford Park
city363,Sale
city364,Stretford
city365,Brixton
city366,Streatham
city367,Uckfield
city368,South Shields
city369,Leigh
city370,Trowbridge
city371,Totton
city372,Eling
city373,Calmore
city374,Shirley
city375,Marchwood
city376,Borehamwood
city377,Barnet
city378,Torquay
city379,Torbay
city380,Tonbridge
city381,Tiverton
city382,Thorne
city383,Tees
city384,Middlesbrough
city385,Diss
city386,Thetford
city387,Teignmouth
city388,Tamworth
city389,Aldermaston
city390,Tadley
city391,Wootton Bassett
city392,Gravesend
city393,Grays
city394,Purfleet
city395,Swanley
city396,Swadlincote
city397,Bretby
city398,Mansfield
city399,Sutton Coldfield
city400,Minworth
city401,Morden
city402,Feltham
city403,Hounslow
city404,Sudbury
city405,Stonehouse
city406,Stroud
city407,Chatham
city408,Medway
city409,Battersea
city410,Clapham
city411,Crystal Palace
city412,Sydenham
city413,Shottery
city414,Stowmarket
city415,Needham Market
city416,Hartlebury
city417,Stourbridge
city418,Brierley Hill
city419,Lyme
city420,Stafford
city421,Stockport
city422,Cheadle
city423,Langley
city424,Staveley
city425,Hope
city426,Orsett
city427,Coryton
city428,Oakham
city429,Stamford
city430,Wittering
city431,Lyne
city432,Newton
city433,Tameside
city434,Hyde
city435,Mossley
city436,Englefield Green
city437,Heathrow
city438,Virginia Water
city439,Spennymoor
city440,Ferryhill
city441,Spalding
city442,Jarrow
city443,Southport
city444,Aveley
city445,West Thurrock
city446,Hayling Island
city447,Sea
city448,South Kirkby
city449,Rayleigh
city450,Canvey Island
city451,Southall
city452,Newcastle
city453,Sleaford
city454,Skelmersdale
city455,Skegness
city456,Sittingbourne
city457,Fradley
city458,Shrewsbury
city459,Sea
city460,Portslade
city461,North Lancing
city462,Shipley
city463,Sundridge
city464,Bubwith
city465,Selby
city466,Seaham
city467,Newhaven
city468,Seaford
city469,Scunthorpe
city470,Ashby
city471,Scarborough
city472,Sandown
city473,Sandhurst
city474,Sandbach
city475,Saint Peters
city476,St Helens
city477,Prescot
city478,Rainhill
city479,Haydock
city480,St Austell
city481,Saint Andrews
city482,Park Street
city483,Great Chesterford
city484,Ryde
city485,Rutherglen
city486,Cambuslang
city487,Rushden
city488,Frodsham
city489,Preston Brook
city490,Rugeley
city491,Rugby
city492,Peacehaven
city493,Rottingdean
city494,Darnall
city495,Romford
city496,Dagenham
city497,Heywood
city498,Rogerstone
city499,Abercarn
city500,Ripon
city501,Belper
city502,Ripley
city503,Denby
city504,Heanor
city505,Rhyl
city506,Pontyclun
city507,Aberdare
city508,Pontypridd
city509,Rhondda Valley
city510,Hirwaun
city511,Westminster
city512,Lakewood
city513,Aurora
city514,Shelton
city515,Newark
city516,Sunrise
city517,Fort Lauderdale
city518,Kona
city519,Nampa
city520,Valparaiso
city521,Kansas City
city522,Lowell
city523,Bethesda
city524,Woodland
city525,Windham
city526,Detroit
city527,Woodbury
city528,Edina
city529,Weldon Spring
city530,Chesterfield
city531,Memphis
city532,Olive Branch
city533,Bay Saint Louis
city534,Columbia Falls
city535,Bozeman
city536,Dover
city537,Jersey City
city538,Princeton
city539,Lake Oswego
city540,Eugene
city541,Erie
city542,Aiken
city543,Oak Ridge
city544,Chattanooga
city545,Knoxville
city546,Herndon
city547,Egg Harbor
city548,Romney
city549,Paddington
city550,Teddington
city551,Finsbury
city552,Fayetteville
city553,Jonesboro
city554,Mesa
city555,Mountain View
city556,Santa Clara
city557,Pleasanton
city558,Louisville
city559,Shoshone
city560,Orland Park
city561,Schaumburg
city562,Independence
city563,Carbondale
city564,Lacombe
city565,Metairie
city566,Needham
city567,Grand Rapids
city568,Birmingham
city569,Piscataway
city570,Irvington
city571,Bend
city572,Bryn Mawr
city573,Plano
city574,Beloit
city575,Paignton
city576,Elephant & Castle
city577,Stoke
city578,Mobile
city579,Bentonville
city580,Palo Alto
city581,Fort Collins
city582,Conshohocken
city583,Deerfield
city584,South Bend
city585,Granger
city586,Kokomo
city587,Natick
city588,Linthicum Heights
city589,Fort Meade
city590,Jackson
city591,Polson
city592,Bellevue
city593,Summit
city594,Camden
city595,Brooklyn
city596,Foster
city597,North Kingstown
city598,Charleston
city599,Richland County
city600,Lewisville
city601,Sterling
city602,South Charleston
city603,Thames Ditton
city604,St Paul's
city605,Glendale
city606,Hastings
city607,Golden
city608,Wallingford
city609,Dover
city610,Vero Beach
city611,Valparaiso
city612,Maui
city613,Hardin County
city614,Eldora
city615,Lewiston
city616,Fruitland
city617,Bloomington
city618,Fort Wayne
city619,Lenexa
city620,Leawood
city621,Shreveport
city622,Silver Spring
city623,Annapolis Junction
city624,Lewiston
city625,Warren
city626,Big Rapids
city627,Auburn Hills
city628,Ludington
city629,Hugo
city630,Olivia
city631,Prinsburg
city632,Redwood Falls
city633,Willmar
city634,Clara City
city635,Renville
city636,Washington
city637,Creve Coeur
city638,Independence
city639,Dillon
city640,Butte
city641,Columbus
city642,Winnebago
city643,Bedford
city644,Portsmouth
city645,Stratham
city646,Woodbridge
city647,Red Bank
city648,Chickasha
city649,Sapulpa
city650,Norman
city651,New Holland
city652,Littlestown
city653,Sioux Falls
city654,Midvale
city655,Newport
city656,Rice Lake
city657,Neenah
city658,Waukesha
city659,Sparta
city660,Richfield
city661,Tomah
city662,Windsor
city663,Chippewa Falls
city664,Epsom
city665,Stoke Newington
city666,Hampstead
city667,Hendon
city668,St John's Wood
city669,Willenhall
city670,Rotherhithe
city671,Colwick
city672,Hatfield
city673,Wellington
city674,Beckenham
city675,Finchley
city676,Northfleet
city677,Camberwell
city678,Pinner
city679,Richmond
city680,Fulham
city681,Mountain View
city682,Ventura
city683,Rohnert Park
city684,Roseville
city685,Bonita Springs
city686,Savannah
city687,Burr Ridge
city688,Moline
city689,Baton Rouge
city690,Mansfield
city691,Pembroke
city692,Burlington
city693,North Reading
city694,Somerville
city695,Saint Charles
city696,Helena
city697,Somersworth
city698,Mount Laurel
city699,Paradise Valley
city700,Liverpool
city701,Bethpage
city702,Dayton
city703,Broken Arrow
city704,King of Prussia
city705,Brookings
city706,Pierre
city707,Murfreesboro
city708,Richardson
city709,Springville
city710,Park City
city711,Montpelier
city712,Fairmont
city713,Evanston
city714,Afton
city715,Casper
city716,Chessington
city717,Redditch
city718,Bromsgrove
city719,Goodrich
city720,Styal
city721,Park Royal
city722,West Hampstead
city723,Beckton
city724,Mexborough
city725,Risley
city726,Ardington
city727,Denham
city728,Avon
city729,Thatcham
city730,Highworth
city731,Curdworth
city732,Trentham
city733,Farringdon
city734,Upminster
city735,Osterley
city736,Nome
city737,Palmer
city738,Lavaca
city739,Tucson
city740,Seal Beach
city741,El Segundo
city742,Wethersfield
city743,Windsor
city744,Tallahassee
city745,Melbourne
city746,Ormond Beach
city747,Robins Air Force Base
city748,Norcross
city749,West Des Moines
city750,Oak Lawn
city751,Evanston
city752,Oak Brook
city753,Rosemont
city754,Maysville
city755,Gaithersburg
city756,Hollywood
city757,Kentwood
city758,Bloomfield Hills
city759,Bloomington
city760,Oakdale
city761,Golden Valley
city762,Asheville
city763,Merrimack
city764,Cherry Hill
city765,Ithaca
city766,Tompkins County
city767,Rensselaer
city768,Albany
city769,Fairborn
city770,Edmond
city771,Milwaukie
city772,Barre
city773,Grand Prairie
city774,Chantilly
city775,Middlebury
city776,Mount Vernon
city777,Kent
city778,Gays Mills
city779,Brookfield
city780,Green Bay
city781,Lemington
city782,Skipton
city783,Catford
city784,Tonbridge and Malling
city785,Norton
city786,Chilworth
city787,High Wycombe
city788,Little Rock
city789,Sierra Vista
city790,Santa Maria
city791,Broomfield
city792,Longmont
city793,Bridgeport
city794,Old Saybrook
city795,Meridian
city796,Pocatello
city797,Rolling Meadows
city798,Odon
city799,Mission
city800,Florence
city801,Paducah
city802,Bossier City
city803,Lake Charles
city804,Monterey
city805,Jackson
city806,West Glacier
city807,Fort Bragg
city808,South Sioux City
city809,Englewood Cliffs
city810,Las Cruces
city811,Nellis AFB
city812,Great Neck
city813,Melville
city814,Chillicothe
city815,Whitehall
city816,Cranberry
city817,Wayne
city818,Blue Bell
city819,Philadelphia County
city820,Mechanicsburg
city821,North Sioux City
city822,Fort Worth
city823,Clearfield
city824,Sunset
city825,Roy
city826,Sandy
city827,Salt Lake County
city828,Virginia Beach
city829,Dahlgren
city830,Keyport
city831,Core
city832,Martinsburg
city833,Old Woking
city834,Newham
city835,West Bridgford
city836,Cheadle Hulme
city837,Hammersmith
city838,Tonypandy
city839,Wasilla
city840,Sitka
city841,Auburn
city842,Vestavia Hills
city843,Homewood
city844,Chandler
city845,Newport Beach
city846,Tarzana
city847,Pasadena
city848,Black Hawk
city849,Commerce City
city850,Norwalk
city851,Bradenton
city852,Kanawha
city853,Waterloo
city854,Spokane
city855,Coeur d'Alene
city856,McCall
city857,Springfield
city858,Mossville
city859,Murray
city860,Frankfort
city861,Lafayette Parish
city862,LaPlace
city863,Laurel
city864,Easton
city865,Saint Paul
city866,Anoka
city867,Fayetteville
city868,Concord
city869,Warren
city870,Oriskany
city871,Woonsocket
city872,Franklin
city873,Clinton
city874,College Station
city875,South Salt Lake
city876,Fort Belvoir
city877,Jay
city878,Colchester
city879,East Montpelier
city880,Berlin
city881,Thurston County
city882,Tumwater
city883,Bothell
city884,Olympia
city885,West Allis
city886,Milwaukee County
city887,Kanawha County
city888,Ravenswood
city889,Torrington
city890,Riverton
city891,Horsham
city892,West Worthing
city893,Ewell
city894,Southgate
city895,Crouch End
city896,East Finchley
city897,Tottenham
city898,Winchmore Hill
city899,Chingford
city900,Addlestone
city901,Colindale
city902,Willesden
city903,Elmbridge
city904,Wisley
city905,Sunbury
city906,Mile End
city907,Forest Gate
city908,Ilford
city909,Netherfield
city910,Crayford
city911,Ruislip
city912,Partington
city913,South Norwood
city914,West Wickham
city915,Buxted
city916,Bramley
city917,Sutton in Ashfield
city918,Kirkby in Ashfield
city919,Coulsdon
city920,Boldon
city921,Bewdley
city922,Heald Green
